Link_Pesquisador,Link_Coautor
BdmHCbcAAAAJ,5barf50AAAAJ
BdmHCbcAAAAJ,QFxVhVEAAAAJ
BdmHCbcAAAAJ,uVVxqXIAAAAJ
BdmHCbcAAAAJ,4Z9et2IAAAAJ
BdmHCbcAAAAJ,aSOW6S4AAAAJ
BdmHCbcAAAAJ,RUwmMb8AAAAJ
BdmHCbcAAAAJ,2yBbnBAAAAAJ
BdmHCbcAAAAJ,JeIV70QAAAAJ
BdmHCbcAAAAJ,d6BpAy8AAAAJ
BdmHCbcAAAAJ,F5Ozy3UAAAAJ
BdmHCbcAAAAJ,jvC6ONYAAAAJ
BdmHCbcAAAAJ,YpjnLP4AAAAJ
BdmHCbcAAAAJ,jt_wajQAAAAJ
5barf50AAAAJ,noskMO0AAAAJ
5barf50AAAAJ,3wnhA1EAAAAJ
5barf50AAAAJ,F1av4IIAAAAJ
5barf50AAAAJ,kAUuzqwAAAAJ
5barf50AAAAJ,JQ3VaCkAAAAJ
5barf50AAAAJ,s2A0MOIAAAAJ
5barf50AAAAJ,sZh8CJQAAAAJ
5barf50AAAAJ,W2YRnsUAAAAJ
5barf50AAAAJ,xSShFucAAAAJ
5barf50AAAAJ,uXe4enkAAAAJ
5barf50AAAAJ,zXUdA-IAAAAJ
5barf50AAAAJ,BdmHCbcAAAAJ
5barf50AAAAJ,dNhIrRwAAAAJ
5barf50AAAAJ,pCggYOEAAAAJ
5barf50AAAAJ,JskklHQAAAAJ
5barf50AAAAJ,QFxVhVEAAAAJ
5barf50AAAAJ,fYZTyFEAAAAJ
5barf50AAAAJ,cHyTJG4AAAAJ
5barf50AAAAJ,kNk2axEAAAAJ
5barf50AAAAJ,yUstZncAAAAJ
5barf50AAAAJ,jUBi1GkAAAAJ
5barf50AAAAJ,CjRMyA4AAAAJ
5barf50AAAAJ,8WJYLh0AAAAJ
5barf50AAAAJ,UBkmYe4AAAAJ
5barf50AAAAJ,HEdXeQkAAAAJ
5barf50AAAAJ,1ELUyUEAAAAJ
5barf50AAAAJ,aCsO6RMAAAAJ
5barf50AAAAJ,cS59-XIAAAAJ
5barf50AAAAJ,dteLMj8AAAAJ
5barf50AAAAJ,3sS2B-kAAAAJ
5barf50AAAAJ,7rvNQJoAAAAJ
5barf50AAAAJ,gufUoeMAAAAJ
5barf50AAAAJ,8r-z0wIAAAAJ
5barf50AAAAJ,XF6CY14AAAAJ
5barf50AAAAJ,kdlB8AoAAAAJ
5barf50AAAAJ,KaPH3E4AAAAJ
5barf50AAAAJ,T332QRgAAAAJ
5barf50AAAAJ,kOucsncAAAAJ
5barf50AAAAJ,6VW1kJgAAAAJ
5barf50AAAAJ,wO-YMEEAAAAJ
5barf50AAAAJ,NzEcUIAAAAAJ
5barf50AAAAJ,c2YsAWcAAAAJ
5barf50AAAAJ,C1vW0OIAAAAJ
5barf50AAAAJ,itj-WrUAAAAJ
5barf50AAAAJ,qKlV4e0AAAAJ
5barf50AAAAJ,yoYhFRcBy3QC
5barf50AAAAJ,Jg0xyqMAAAAJ
5barf50AAAAJ,oIAOI2AAAAAJ
5barf50AAAAJ,qBwMcNIAAAAJ
5barf50AAAAJ,yeClg0QAAAAJ
5barf50AAAAJ,9xfo_q0AAAAJ
5barf50AAAAJ,9zJazBUAAAAJ
5barf50AAAAJ,Z1YxOtUAAAAJ
5barf50AAAAJ,4ZkJQVEAAAAJ
5barf50AAAAJ,G4Kw3oEAAAAJ
5barf50AAAAJ,006pbDoAAAAJ
5barf50AAAAJ,fYkrlAUAAAAJ
5barf50AAAAJ,2HUzHkwAAAAJ
5barf50AAAAJ,iJgoqmQAAAAJ
5barf50AAAAJ,QccNyFUAAAAJ
5barf50AAAAJ,ZSP-R5oAAAAJ
5barf50AAAAJ,i_B3PDMAAAAJ
5barf50AAAAJ,Cgoc25cAAAAJ
5barf50AAAAJ,ThuOJWUAAAAJ
5barf50AAAAJ,pDTgrhgAAAAJ
5barf50AAAAJ,_G_tj6MAAAAJ
5barf50AAAAJ,0j82H0sAAAAJ
5barf50AAAAJ,0j82H0sAAAAJ
sP7PQ5kAAAAJ,WLmadTQAAAAJ
sP7PQ5kAAAAJ,_3a0Bi0AAAAJ
sP7PQ5kAAAAJ,n93QXi0AAAAJ
sP7PQ5kAAAAJ,yQHQCC0AAAAJ
sP7PQ5kAAAAJ,gVTC98QAAAAJ
sP7PQ5kAAAAJ,ZfDbh7oAAAAJ
sP7PQ5kAAAAJ,8TSQo4UAAAAJ
sP7PQ5kAAAAJ,U4JuEFwAAAAJ
sP7PQ5kAAAAJ,o6FHHYkAAAAJ
sP7PQ5kAAAAJ,CMTZeSoAAAAJ
sP7PQ5kAAAAJ,np24L3MAAAAJ
sP7PQ5kAAAAJ,nar00gIAAAAJ
uVVxqXIAAAAJ,TNdmZVEAAAAJ
uVVxqXIAAAAJ,rrIp8rMAAAAJ
uVVxqXIAAAAJ,jKZfE1koVBsC
uVVxqXIAAAAJ,ZIw-AGsAAAAJ
uVVxqXIAAAAJ,t20dQloAAAAJ
uVVxqXIAAAAJ,6VW1kJgAAAAJ
uVVxqXIAAAAJ,nom_JY8AAAAJ
uVVxqXIAAAAJ,0AY3Qt0AAAAJ
uVVxqXIAAAAJ,BdmHCbcAAAAJ
uVVxqXIAAAAJ,fOeHVMUAAAAJ
uVVxqXIAAAAJ,eNa4vzgAAAAJ
uVVxqXIAAAAJ,kiSSJhwAAAAJ
uVVxqXIAAAAJ,q3fB9gYAAAAJ
uVVxqXIAAAAJ,9RjwMEAAAAAJ
uVVxqXIAAAAJ,ZgdNMrgAAAAJ
uVVxqXIAAAAJ,VyPhl7oAAAAJ
uVVxqXIAAAAJ,9WMU4HskwasC
aSOW6S4AAAAJ,wJJLcZoAAAAJ
aSOW6S4AAAAJ,CNWJsjYAAAAJ
aSOW6S4AAAAJ,4Z9et2IAAAAJ
aSOW6S4AAAAJ,XU1xaUIAAAAJ
aSOW6S4AAAAJ,resLKiwAAAAJ
aSOW6S4AAAAJ,EEaWWMMAAAAJ
aSOW6S4AAAAJ,BdmHCbcAAAAJ
aSOW6S4AAAAJ,4_jykaYAAAAJ
aSOW6S4AAAAJ,paYBFFcAAAAJ
aSOW6S4AAAAJ,2mLqyf4AAAAJ
aSOW6S4AAAAJ,qVIulzoAAAAJ
aSOW6S4AAAAJ,SNafy7MAAAAJ
aSOW6S4AAAAJ,2TKG5hAAAAAJ
aSOW6S4AAAAJ,gqkpNpQAAAAJ
aSOW6S4AAAAJ,8IWkmnEAAAAJ
aSOW6S4AAAAJ,kZ-mZeEAAAAJ
aSOW6S4AAAAJ,bO8QBlwAAAAJ
aSOW6S4AAAAJ,4AyPaUwAAAAJ
aSOW6S4AAAAJ,uGo8v7kAAAAJ
aSOW6S4AAAAJ,fyaxzaIAAAAJ
2yBbnBAAAAAJ,dYwbc9sAAAAJ
2yBbnBAAAAAJ,ZQjtYfAAAAAJ
2yBbnBAAAAAJ,BdmHCbcAAAAJ
2yBbnBAAAAAJ,bGGzp3UAAAAJ
JeIV70QAAAAJ,7fO-QIQAAAAJ
JeIV70QAAAAJ,4p93CdAAAAAJ
JeIV70QAAAAJ,s9CJ03QAAAAJ
JeIV70QAAAAJ,4wHTKPUAAAAJ
JeIV70QAAAAJ,4wZDoW0AAAAJ
JeIV70QAAAAJ,BdmHCbcAAAAJ
