Link,Ja_visto
5barf50AAAAJ,True
QFxVhVEAAAAJ,True
uVVxqXIAAAAJ,True
4Z9et2IAAAAJ,True
aSOW6S4AAAAJ,True
RUwmMb8AAAAJ,True
2yBbnBAAAAAJ,True
JeIV70QAAAAJ,True
d6BpAy8AAAAJ,True
F5Ozy3UAAAAJ,True
jvC6ONYAAAAJ,True
YpjnLP4AAAAJ,True
jt_wajQAAAAJ,True
noskMO0AAAAJ,True
3wnhA1EAAAAJ,True
F1av4IIAAAAJ,True
kAUuzqwAAAAJ,True
JQ3VaCkAAAAJ,True
s2A0MOIAAAAJ,True
sZh8CJQAAAAJ,True
W2YRnsUAAAAJ,True
xSShFucAAAAJ,True
uXe4enkAAAAJ,True
zXUdA-IAAAAJ,True
BdmHCbcAAAAJ,True
dNhIrRwAAAAJ,True
pCggYOEAAAAJ,True
JskklHQAAAAJ,True
fYZTyFEAAAAJ,True
cHyTJG4AAAAJ,True
kNk2axEAAAAJ,True
yUstZncAAAAJ,True
jUBi1GkAAAAJ,True
CjRMyA4AAAAJ,True
8WJYLh0AAAAJ,True
UBkmYe4AAAAJ,True
HEdXeQkAAAAJ,True
1ELUyUEAAAAJ,True
aCsO6RMAAAAJ,True
cS59-XIAAAAJ,True
dteLMj8AAAAJ,True
3sS2B-kAAAAJ,True
7rvNQJoAAAAJ,True
gufUoeMAAAAJ,True
8r-z0wIAAAAJ,True
XF6CY14AAAAJ,True
kdlB8AoAAAAJ,True
KaPH3E4AAAAJ,True
T332QRgAAAAJ,True
kOucsncAAAAJ,True
6VW1kJgAAAAJ,True
wO-YMEEAAAAJ,True
NzEcUIAAAAAJ,True
c2YsAWcAAAAJ,True
C1vW0OIAAAAJ,True
itj-WrUAAAAJ,True
qKlV4e0AAAAJ,True
yoYhFRcBy3QC,True
Jg0xyqMAAAAJ,True
oIAOI2AAAAAJ,True
qBwMcNIAAAAJ,True
yeClg0QAAAAJ,True
9xfo_q0AAAAJ,True
9zJazBUAAAAJ,True
Z1YxOtUAAAAJ,True
4ZkJQVEAAAAJ,True
G4Kw3oEAAAAJ,True
006pbDoAAAAJ,True
fYkrlAUAAAAJ,True
2HUzHkwAAAAJ,True
iJgoqmQAAAAJ,True
QccNyFUAAAAJ,True
ZSP-R5oAAAAJ,True
i_B3PDMAAAAJ,True
Cgoc25cAAAAJ,True
ThuOJWUAAAAJ,True
pDTgrhgAAAAJ,True
_G_tj6MAAAAJ,False
0j82H0sAAAAJ,False
WLmadTQAAAAJ,False
_3a0Bi0AAAAJ,False
n93QXi0AAAAJ,False
