ID,Nome,Afiliação,Link
1,Marcelo J. Moreira,FGV,BdmHCbcAAAAJ
2,Marc Hallin,Université libre de Bruxelles,5barf50AAAAJ
3,Alexei Onatski,University of Cambridge,QFxVhVEAAAAJ
4,Michael Jansson,"Professor of Economics, UC Berkeley",uVVxqXIAAAAJ
5,David S. Lee,Princeton University,4Z9et2IAAAAJ
6,Justin McCrary,"Paul J. Evanson Professor of Law, Columbia University",aSOW6S4AAAAJ
7,Brian Poi,Poi Consulting,RUwmMb8AAAAJ
8,Marinho Bertanha,"Department of Economics, University of Notre Dame",2yBbnBAAAAAJ
9,Mahrad Sharifvaghefi,"Assistant Professor, University of Pittsburgh",JeIV70QAAAAJ
10,Victoria Zinde-Walsh,McGill University,d6BpAy8AAAAJ
11,Benoit Perron,Universite de Montreal,F5Ozy3UAAAAJ
12,Marine Carrasco,Universite de montreal,jvC6ONYAAAAJ
13,Jushan Bai,Columbia University,YpjnLP4AAAAJ
14,Luiz Renato Lima,"Associate Professor of Economics, The University of Tennessee",jt_wajQAAAAJ
15,Davy Paindaveine,"Professor of Statistics, Université libre de Bruxelles",noskMO0AAAAJ
16,Marco Lippi,Professor Macroeconomics,3wnhA1EAAAAJ
17,Mario FORNI,"Professor of Econometrics, University of Modena and Reggio Emilia",F1av4IIAAAAJ
18,Lucrezia Reichlin,"Professor of economics, London Business School",kAUuzqwAAAAJ
19,Madan Puri,Professor of Mathematics / College Arts & Sciences Distinguished Research Scholar …,JQ3VaCkAAAAJ
20,Thomas Verdebout,"Professor, Université libre de Bruxelles",s2A0MOIAAAAJ
21,Zudi Lu,"University of Southampton, S3RI and School of Mathematical Sciences",sZh8CJQAAAAJ
22,Matteo Barigozzi,Full Professor - Alma Mater Studiorum Università di Bologna,W2YRnsUAAAAJ
23,Dette,Professor für Mathematik,xSShFucAAAAJ
24,Guy Mélard,Université libre de Bruxelles,uXe4enkAAAAJ
25,Paolo Zaffaroni,Professor of Financial Econometrics,zXUdA-IAAAAJ
