Link_Pesquisador,Label,ID_Pesquisador
,Econometrics,14.0
,Applied Econometrics,14.0
,mathematical statistics,79.0
,time series,79.0
,multivariate analysis,79.0
,time-series econometrics,79.0
5barf50AAAAJ,time-series econometrics,
sP7PQ5kAAAAJ,macroeconomics,
sP7PQ5kAAAAJ,labor economics,
sP7PQ5kAAAAJ,development,
uVVxqXIAAAAJ,Econometrics,
4Z9et2IAAAAJ,Labor Economics,
4Z9et2IAAAAJ,Econometrics,
4Z9et2IAAAAJ,Public Economics,
aSOW6S4AAAAJ,antitrust,
aSOW6S4AAAAJ,law and economics,
aSOW6S4AAAAJ,business law,
aSOW6S4AAAAJ,labor economics,
aSOW6S4AAAAJ,econometrics,
RUwmMb8AAAAJ,Economics,
RUwmMb8AAAAJ,Econometrics,
2yBbnBAAAAAJ,Econometric Theory,
2yBbnBAAAAAJ,Causal Inference,
2yBbnBAAAAAJ,Bootstrap,
2yBbnBAAAAAJ,Spatial Econometrics,
JeIV70QAAAAJ,High-dimensional statistics,
JeIV70QAAAAJ,Large-scale inference,
JeIV70QAAAAJ,Machine learning,
JeIV70QAAAAJ,Causal inference,
JeIV70QAAAAJ,Applied Macroeconomics,
d6BpAy8AAAAJ,Econometric Theory,
F5Ozy3UAAAAJ,Econometrics,
jvC6ONYAAAAJ,economics,
ZfDbh7oAAAAJ,Growth - Development - Macroeconomics,
YpjnLP4AAAAJ,Econometrics,
YpjnLP4AAAAJ,Factor Analysis,
YpjnLP4AAAAJ,Panel Data,
YpjnLP4AAAAJ,Structural Breaks,
YpjnLP4AAAAJ,Time Series Econometrics,
jt_wajQAAAAJ,Econometrics,
jt_wajQAAAAJ,Forecasting,
jt_wajQAAAAJ,Trade,
noskMO0AAAAJ,Statistics,
noskMO0AAAAJ,Probability,
noskMO0AAAAJ,Mathematics,
3wnhA1EAAAAJ,Macroeconomics,
3wnhA1EAAAAJ,Econometrics,
kAUuzqwAAAAJ,time series econometrics,
kAUuzqwAAAAJ,monetary economics,
JQ3VaCkAAAAJ,Statistics,
JQ3VaCkAAAAJ,Probability,
JQ3VaCkAAAAJ,Mathematics,
s2A0MOIAAAAJ,Statistics,
sZh8CJQAAAAJ,Nonlinear financial time series analysis and econometrics,
sZh8CJQAAAAJ,spatial and spatiotemporal big data analysis and prediction,
